# Delay [days]	Delay uncertainty [days]	zDCF 	zDCF uncertainty
-200.000000	5.000000	-0.399007	0.006830
-190.000000	5.000000	-0.424777	0.006692
-180.000000	5.000000	-0.445752	0.007516
-170.000000	5.000000	-0.423536	0.007077
-160.000000	5.000000	-0.415135	0.008283
-150.000000	5.000000	-0.436330	0.006420
-140.000000	5.000000	-0.472925	0.007193
-130.000000	5.000000	-0.474829	0.008755
-120.000000	5.000000	-0.506868	0.008967
-110.000000	5.000000	-0.523696	0.011775
-100.000000	5.000000	-0.443469	0.009556
-90.000000	5.000000	-0.438114	0.010362
-80.000000	5.000000	-0.390347	0.010950
-70.000000	5.000000	-0.425468	0.007458
-60.000000	5.000000	-0.424920	0.009802
-50.000000	5.000000	-0.429714	0.007710
-40.000000	5.000000	-0.489679	0.011287
-30.000000	5.000000	-0.505057	0.010902
-20.000000	5.000000	-0.447032	0.008994
-10.000000	5.000000	-0.401561	0.006134
0.000000	5.000000	-0.364634	0.008342
10.000000	5.000000	-0.411050	0.006799
20.000000	5.000000	-0.405402	0.006937
30.000000	5.000000	-0.327381	0.009842
40.000000	5.000000	-0.260627	0.011681
50.000000	5.000000	-0.294089	0.008113
60.000000	5.000000	-0.306650	0.007193
70.000000	5.000000	-0.359654	0.005681
80.000000	5.000000	-0.345338	0.006201
90.000000	5.000000	-0.428791	0.008226
100.000000	5.000000	-0.477237	0.005834
110.000000	5.000000	-0.480407	0.006819
120.000000	5.000000	-0.451764	0.007925
130.000000	5.000000	-0.426679	0.005888
140.000000	5.000000	-0.404613	0.009435
150.000000	5.000000	-0.333733	0.007117
160.000000	5.000000	-0.293788	0.007854
170.000000	5.000000	-0.278113	0.009905
180.000000	5.000000	-0.227298	0.008352
190.000000	5.000000	-0.192613	0.011437
200.000000	5.000000	-0.095545	0.008348
