# Delay [days]	Delay uncertainty [days]	zDCF 	zDCF uncertainty
-200.000000	5.000000	0.062078	0.010205
-190.000000	5.000000	0.136560	0.007615
-180.000000	5.000000	0.152217	0.010477
-170.000000	5.000000	0.277522	0.008600
-160.000000	5.000000	0.387900	0.011009
-150.000000	5.000000	0.275833	0.007179
-140.000000	5.000000	0.290617	0.009352
-130.000000	5.000000	0.293477	0.011638
-120.000000	5.000000	0.309294	0.010605
-110.000000	5.000000	0.263009	0.013594
-100.000000	5.000000	0.254971	0.010864
-90.000000	5.000000	0.357954	0.014197
-80.000000	5.000000	0.365243	0.011947
-70.000000	5.000000	0.273757	0.008491
-60.000000	5.000000	0.389956	0.010890
-50.000000	5.000000	0.523254	0.013221
-40.000000	5.000000	0.499825	0.013881
-30.000000	5.000000	0.598973	0.012395
-20.000000	5.000000	0.479464	0.011828
-10.000000	5.000000	0.570358	0.011888
0.000000	5.000000	0.826829	0.014402
10.000000	5.000000	0.584809	0.008030
20.000000	5.000000	0.519717	0.013663
30.000000	5.000000	0.490537	0.012858
40.000000	5.000000	0.421498	0.008977
50.000000	5.000000	0.556268	0.013616
60.000000	5.000000	0.469351	0.012759
70.000000	5.000000	0.407096	0.009519
80.000000	5.000000	0.354812	0.011492
90.000000	5.000000	0.308827	0.013973
100.000000	5.000000	0.378625	0.012282
110.000000	5.000000	0.378415	0.015604
120.000000	5.000000	0.303325	0.010977
130.000000	5.000000	0.282422	0.014693
140.000000	5.000000	0.340408	0.011688
150.000000	5.000000	0.343572	0.011149
160.000000	5.000000	0.247801	0.014297
170.000000	5.000000	0.231615	0.009852
180.000000	5.000000	0.187910	0.017092
190.000000	5.000000	0.148170	0.010412
200.000000	5.000000	0.205482	0.008903
